author,title,types,price,review,rate
Dav Pilkey,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","16,336",4.9 out of 5 stars
Jennifer Smith,Goodnight Moon,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.69</span></span>","25,943",4.9 out of 5 stars
Rupi Kaur,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$15.86</span></span>","21,236",4.8 out of 5 stars
Celeste Ng,A Wrinkle in Time (Time Quintet),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","13,087",4.6 out of 5 stars
Anthony Bourdain,How to Win Friends & Influence People,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.77</span></span>","83,419",4.7 out of 5 stars
James Patterson,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","18,867",4.9 out of 5 stars
School Zone,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy Instant Pot Recipes.,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.97</span></span>","13,367",4.4 out of 5 stars
Ernest Cline,Milk and Honey,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.58</span></span>","48,110",4.7 out of 5 stars
Ray Bradbury,Little Fires Everywhere,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.57</span></span>","58,130",4.5 out of 5 stars
Tucker Carlson,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","7,777",4.8 out of 5 stars
Paulo Coelho,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$4.38</span></span>","99,533",4.7 out of 5 stars
R. J. Palacio,Wonder,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.17</span></span>","36,665",4.8 out of 5 stars
Harper Lee,To Kill a Mockingbird,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.46</span></span>","71,999",4.8 out of 5 stars
Leanne Vogel,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.24</span></span>","15,394",4.6 out of 5 stars
Bob Goff,The Keto Diet: The Complete Guide to a High-Fat Diet,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.04</span></span>","7,525",4.4 out of 5 stars
Lisa Wingate,Everybody Always: Becoming Love in a World Full of Setbacks and Difficult People,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","6,686",4.8 out of 5 stars
John Grisham,Before We Were Yours: A Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","42,359",4.7 out of 5 stars
Mark Sullivan,The Reckoning: A Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","22,461",4.2 out of 5 stars
Heidi Murkoff,"Brown Bear, Brown Bear, What Do You See?",Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.07</span></span>","49,005",4.9 out of 5 stars
Ray Dalio,Beneath a Scarlet Sky: A Novel,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.80</span></span>","68,266",4.7 out of 5 stars
Neil deGrasse Tyson,What to Expect When You're Expecting,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.33</span></span>","29,938",4.8 out of 5 stars
Rob Elliott,Principles: Life and Work,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$8.03</span></span>","12,569",4.6 out of 5 stars
Anthony William,Astrophysics for People in a Hurry,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.07</span></span>","21,455",4.7 out of 5 stars
The College Board,Laugh-Out-Loud Jokes for Kids,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.79</span></span>","10,924",4.6 out of 5 stars
Sasha O'Hara,"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$8.90</span></span>","11,266",4.7 out of 5 stars
Stephen King,The Official SAT Study Guide,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$4.25</span></span>","2,378",4.5 out of 5 stars
Delia Owens,Calm the F*ck Down: An Irreverent Adult Coloring Book,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","21,218",4.6 out of 5 stars
Robert Munsch,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.18</span></span>","25,180",4.8 out of 5 stars
Adam Rubin,The Outsider: A Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.78</span></span>","26,333",4.6 out of 5 stars
A. J. Finn,Where the Crawdads Sing,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.33</span></span>","376,112",4.8 out of 5 stars
Suzanne Ryan,D&D Dungeon Master’s Guide (Dungeons & Dragons Core Rulebook),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$18.00</span></span>","24,139",4.9 out of 5 stars
Jocko Willink,Sapiens: A Brief History of Humankind,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$8.88</span></span>","68,710",4.6 out of 5 stars
Gregg Jarrett,Love You Forever,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.61</span></span>","55,416",4.9 out of 5 stars
Dan Green,Dragons Love Tacos,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","16,480",4.8 out of 5 stars
Rupi Kaur,The Woman in the Window: A Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.58</span></span>","39,021",4.4 out of 5 stars
Jen Fisch,D&D Monster Manual (Dungeons & Dragons Core Rulebook),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$24.98</span></span>","23,534",4.9 out of 5 stars
Brianna Caplan Sayres,Simply Keto: A Practical Approach to Health & Weight Loss with 100+ Easy Low-Carb Recipes,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.52</span></span>","9,583",4.6 out of 5 stars
Stephen R. Covey,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars
Reese Witherspoon,Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$9.08</span></span>","27,207",4.8 out of 5 stars
Viktor E. Frankl,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.25</span></span>","4,780",4.8 out of 5 stars
Kristin Hannah,How to Draw 101 Animals (1),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.75</span></span>","25,546",4.7 out of 5 stars
Dave Ramsey,The Sun and Her Flowers,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","17,613",4.8 out of 5 stars
Chrissy Teigen,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.06</span></span>","28,497",4.5 out of 5 stars
Margaret Atwood,"The Easy 5-Ingredient Ketogenic Diet Cookbook: Low-Carb, High-Fat Recipes for Busy People on the Keto Diet",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.58</span></span>","16,037",4.4 out of 5 stars
Brené Brown,Where Do Diggers Sleep at Night? (Where Do...Series),Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","14,143",4.8 out of 5 stars
F. Scott Fitzgerald,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.80</span></span>","9,299",4.7 out of 5 stars
Bessel van der Kolk M.D.,"Whiskey in a Teacup: What Growing Up in the South Taught Me About Life, Love, and Baking Biscuits",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.00</span></span>","4,866",4.7 out of 5 stars
Lin-Manuel Miranda,Man's Search for Meaning (OLD EDITION/OUT OF PRINT),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.85</span></span>","53,826",4.7 out of 5 stars
Robert T. Kiyosaki,The Great Alone: A Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.59</span></span>","48,440",4.7 out of 5 stars
J. K. Rowling,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","24,628",4.7 out of 5 stars
Michelle Obama,Becoming,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","124,513",4.8 out of 5 stars
Rachel Hollis,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","27,481",4.6 out of 5 stars
Craig Smith,The Wonky Donkey,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.29</span></span>","76,518",4.8 out of 5 stars
Michael Wolff,Fire and Fury: Inside the Trump White House,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","17,415",4.2 out of 5 stars
Bob Woodward,Fear: Trump in the White House,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","10,449",4.5 out of 5 stars
Jill Twiss,Last Week Tonight with John Oliver Presents: A Day in the Life of Marlon Bundo (HBO),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","15,090",4.9 out of 5 stars
Jordan B. Peterson,12 Rules for Life: An Antidote to Chaos,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$8.03</span></span>","61,351",4.8 out of 5 stars
Joanna Gaines,Magnolia Table,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$7.24</span></span>","33,266",4.8 out of 5 stars
The Staff of The Late Show with Stephen Colbert,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.13</span></span>","9,985",4.6 out of 5 stars
Mark Manson,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$7.82</span></span>","85,729",4.6 out of 5 stars
James Comey,"A Higher Loyalty: Truth, Lies, and Leadership",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.59</span></span>","8,378",4.7 out of 5 stars
Amy Ramos,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.47</span></span>","29,194",4.3 out of 5 stars
Jeff Kinney,Diary of a Wimpy Kid #13: Meltdown,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","21,075",4.8 out of 5 stars
