author,title,types,price,review,rate
Stieg Larsson,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","11,409",4.7 out of 5 stars
Stieg Larsson,The Girl with the Dragon Tattoo (Millennium Series),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","15,952",4.5 out of 5 stars
George W. Bush,Decision Points,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","2,418",4.6 out of 5 stars
Kathryn Stockett,The Help,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.14</span></span>","18,452",4.8 out of 5 stars
Stieg Larsson,The Girl Who Played with Fire (Millennium Series),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","11,012",4.7 out of 5 stars
Jeff Kinney,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.11</span></span>","11,051",4.8 out of 5 stars
Suzanne Collins,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars
Geneen Roth,Mockingjay (The Hunger Games),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.47</span></span>","38,081",4.6 out of 5 stars
American Psychological Association,Women Food and God: An Unexpected Path to Almost Everything,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.17</span></span>","2,000",4.4 out of 5 stars
Mark Twain,"Publication Manual of the American Psychological Association, 6th Edition",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.37</span></span>","12,783",4.5 out of 5 stars
Michael Lewis,"Autobiography of Mark Twain, Vol. 1",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.59</span></span>",613,4.4 out of 5 stars
Michael Pollan,The Big Short: Inside the Doomsday Machine,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","6,637",4.7 out of 5 stars
Laura Hillenbrand,Food Rules: An Eater's Manual,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.93</span></span>","2,577",4.5 out of 5 stars
Charlaine Harris,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.25</span></span>","33,917",4.8 out of 5 stars
Justin Halpern,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","3,410",4.6 out of 5 stars
Francis Chan,Sh*t My Dad Says,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","1,800",4.7 out of 5 stars
Stephenie Meyer,Crazy Love: Overwhelmed by a Relentless God,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.97</span></span>","1,932",4.7 out of 5 stars
Keith Richards,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","6,293",4.7 out of 5 stars
Abraham Verghese,Life,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.17</span></span>","4,826",4.6 out of 5 stars
Jon Stewart,Cutting for Stone,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.25</span></span>","7,013",4.6 out of 5 stars
John Heilemann,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.53</span></span>",586,4.5 out of 5 stars
Rebecca Skloot,The Official SAT Study Guide,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.79</span></span>","1,535",4.4 out of 5 stars
Rick Riordan,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","1,363",4.5 out of 5 stars
Doug Lemov,The Immortal Life of Henrietta Lacks,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.84</span></span>","17,262",4.7 out of 5 stars
Malcolm Gladwell,"The Lost Hero (Heroes of Olympus, Book 1)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","12,270",4.8 out of 5 stars
Suzanne Collins,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.23</span></span>",863,4.5 out of 5 stars
