author,title,types,price,review,rate
Delia Owens,Where the Crawdads Sing,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.33</span></span>","376,112",4.8 out of 5 stars
Michelle Obama,Becoming,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","124,513",4.8 out of 5 stars
Tara Westover,Educated: A Memoir,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","72,382",4.7 out of 5 stars
Dav Pilkey,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.42</span></span>","24,247",4.9 out of 5 stars
Rachel Hollis,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","27,481",4.6 out of 5 stars
Dav Pilkey,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.60</span></span>","28,555",4.9 out of 5 stars
Jeff Kinney,Wrecking Ball (Diary of a Wimpy Kid Book 14),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.35</span></span>","18,886",4.9 out of 5 stars
Emily Winfield Martin,The Wonderful Things You Will Be,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","26,482",4.9 out of 5 stars
School Zone,"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$5.01</span></span>","68,906",4.8 out of 5 stars
Gary Chapman,The 5 Love Languages: The Secret to Love that Lasts,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.38</span></span>","74,075",4.8 out of 5 stars
Rachel Hollis,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.13</span></span>","14,355",4.6 out of 5 stars
Craig Smith,The Wonky Donkey,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.29</span></span>","76,518",4.8 out of 5 stars
Mark Manson,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$7.82</span></span>","85,729",4.6 out of 5 stars
M Prefontaine,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.34</span></span>","29,762",4.6 out of 5 stars
Samin Nosrat,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$15.86</span></span>","21,236",4.8 out of 5 stars
Eric Carle,The Very Hungry Caterpillar,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","56,790",4.9 out of 5 stars
Adir Levy,"What Should Danny Do? (The Power to Choose Series) (The Power to Choose, 1)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.58</span></span>","22,695",4.8 out of 5 stars
Lysa TerKeurst,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","17,578",4.8 out of 5 stars
Hopscotch Girls,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.33</span></span>","32,730",4.8 out of 5 stars
Don Miguel Ruiz,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.72</span></span>","90,035",4.7 out of 5 stars
Mark R. Levin,Unfreedom of the Press,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.32</span></span>","9,320",4.9 out of 5 stars
Dav Pilkey,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","18,867",4.9 out of 5 stars
Ann Whitford Paul,Giraffes Can't Dance,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.95</span></span>","28,617",4.8 out of 5 stars
Dr. Seuss,If Animals Kissed Good Night,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","71,267",4.8 out of 5 stars
Howard Stern,"Oh, the Places You'll Go!  ",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.36</span></span>","44,130",4.9 out of 5 stars
Raina Telgemeier,Howard Stern Comes Again,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","8,016",4.5 out of 5 stars
J. K. Rowling,Guts: A Graphic Novel,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.32</span></span>","12,475",4.8 out of 5 stars
Amy Shields,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.06</span></span>","28,497",4.5 out of 5 stars
Jennifer Smith,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (Illustrated edition) (4)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$14.88</span></span>","25,631",4.9 out of 5 stars
Bessel van der Kolk M.D.,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","18,354",4.8 out of 5 stars
Margaret Wise Brown,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy Instant Pot Recipes.,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.97</span></span>","13,367",4.4 out of 5 stars
Amy Ramos,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$7.95</span></span>","59,903",4.8 out of 5 stars
Silly Bear,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","28,196",4.6 out of 5 stars
Nathan W. Pyle,Goodnight Moon,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.69</span></span>","25,943",4.9 out of 5 stars
Alex Michaelides,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.47</span></span>","29,194",4.3 out of 5 stars
Harper Lee,Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.35</span></span>","20,582",4.8 out of 5 stars
Jen Sincero,Strange Planet (Strange Planet Series),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","16,502",4.9 out of 5 stars
Crispin Boyer,D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$16.95</span></span>","47,731",4.9 out of 5 stars
David Goggins,The Silent Patient,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.33</span></span>","147,155",4.5 out of 5 stars
John Grisham,"5,000 Awesome Facts (About Everything!)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.27</span></span>","19,624",4.8 out of 5 stars
Dave Ramsey,To Kill a Mockingbird,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.46</span></span>","71,999",4.8 out of 5 stars
Dinah Bucholz,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.22</span></span>","35,905",4.7 out of 5 stars
