author,title,types,price,review,rate
Walter Isaacson,Steve Jobs,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","13,314",4.7 out of 5 stars
Todd Burpo,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.36</span></span>","17,472",4.7 out of 5 stars
Jeff Kinney,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.91</span></span>","11,609",4.8 out of 5 stars
Suzanne Collins,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars
Laura Hillenbrand,The Hunger Games (Book 1),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.34</span></span>","44,113",4.7 out of 5 stars
Christopher Paolini,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.25</span></span>","33,917",4.8 out of 5 stars
Adam Mansbach,Inheritance: Book IV (Inheritance Cycle),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.59</span></span>","9,276",4.7 out of 5 stars
Suzanne Collins,Go the F**k to Sleep,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.38</span></span>","20,696",4.8 out of 5 stars
George R.R. Martin,Mockingjay (The Hunger Games),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.47</span></span>","38,081",4.6 out of 5 stars
Suzanne Collins,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$9.00</span></span>","6,405",4.6 out of 5 stars
George R. R. Martin,Catching Fire (The Hunger Games),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","33,507",4.7 out of 5 stars
Rick Riordan,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","3,121",4.3 out of 5 stars
Bill O'Reilly,A Dance with Dragons (A Song of Ice and Fire),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.32</span></span>","17,796",4.5 out of 5 stars
American Psychological Association,"The Son of Neptune (Heroes of Olympus, Book 2)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.59</span></span>","12,229",4.8 out of 5 stars
Kathryn Stockett,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.50</span></span>","10,931",4.7 out of 5 stars
Rebecca Skloot,"Publication Manual of the American Psychological Association, 6th Edition",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.37</span></span>","12,783",4.5 out of 5 stars
Stephen King,The Help,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","18,452",4.8 out of 5 stars
Sarah Young,The Immortal Life of Henrietta Lacks,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.49</span></span>","17,262",4.7 out of 5 stars
