author,title,types,price,review,rate
E L James,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series, 1)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.50</span></span>","60,774",4.0 out of 5 stars
E L James,Fifty Shades Darker,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","33,674",4.5 out of 5 stars
E L James,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.03</span></span>","32,691",4.5 out of 5 stars
Suzanne Collins,The Hunger Games (Book 1),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.34</span></span>","44,113",4.7 out of 5 stars
E L James,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars
Suzanne Collins,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.69</span></span>","38,942",4.6 out of 5 stars
Suzanne Collins,Catching Fire (The Hunger Games),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","33,507",4.7 out of 5 stars
Jeff Kinney,Mockingjay (The Hunger Games),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.47</span></span>","38,081",4.6 out of 5 stars
Mark Owen,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","12,955",4.7 out of 5 stars
Suzanne Collins,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.04</span></span>","9,775",4.6 out of 5 stars
Gillian Flynn,The Hunger Games Trilogy Boxed Set,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$4.17</span></span>","25,596",4.8 out of 5 stars
Rick Riordan,Gone Girl,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","67,856",4.1 out of 5 stars
George R.R. Martin,"The Mark of Athena (Heroes of Olympus, Book 3)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","14,567",4.8 out of 5 stars
Bill O'Reilly,The Official SAT Study Guide,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.79</span></span>","1,535",4.4 out of 5 stars
American Psychological Association,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$9.00</span></span>","6,405",4.6 out of 5 stars
Bill O'Reilly,Killing Kennedy: The End of Camelot,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.17</span></span>","10,620",4.6 out of 5 stars
Laura Hillenbrand,"Publication Manual of the American Psychological Association, 6th Edition",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.37</span></span>","12,783",4.5 out of 5 stars
Gary Chapman,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.50</span></span>","10,931",4.7 out of 5 stars
