author,title,types,price,review,rate
R. J. Palacio,Wonder,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.17</span></span>","36,665",4.8 out of 5 stars
Rupi Kaur,Milk and Honey,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.58</span></span>","48,110",4.7 out of 5 stars
Mark Manson,Giraffes Can't Dance,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.95</span></span>","28,617",4.8 out of 5 stars
Jeff Kinney,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$7.82</span></span>","85,729",4.6 out of 5 stars
Laurel Randolph,The Getaway,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","17,841",4.8 out of 5 stars
J. D. Vance,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.93</span></span>","12,728",4.4 out of 5 stars
Neil deGrasse Tyson,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.75</span></span>","29,957",4.4 out of 5 stars
Roger Priddy,Astrophysics for People in a Hurry,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.07</span></span>","21,455",4.7 out of 5 stars
Margaret Atwood,First 100 Words: A Padded Board Book,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","36,068",4.7 out of 5 stars
Gary Chapman,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.24</span></span>","15,394",4.6 out of 5 stars
Jen Sincero,The Handmaid's Tale,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.36</span></span>","62,987",4.5 out of 5 stars
Hillary Rodham Clinton,The 5 Love Languages: The Secret to Love that Lasts,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.38</span></span>","74,075",4.8 out of 5 stars
Dr. Seuss,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.22</span></span>","35,905",4.7 out of 5 stars
George Orwell,What Happened,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.88</span></span>","6,956",4.6 out of 5 stars
Dale Carnegie,"Oh, the Places You'll Go!  ",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.36</span></span>","44,130",4.9 out of 5 stars
Dan Brown,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.76</span></span>","31,108",4.7 out of 5 stars
Fredrik Backman,1984,Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.22</span></span>","75,873",4.7 out of 5 stars
Rupi Kaur,How to Win Friends & Influence People,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.77</span></span>","83,419",4.7 out of 5 stars
Don Miguel Ruiz,Origin: A Novel (Robert Langdon),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","37,592",4.4 out of 5 stars
Sandra Boynton,A Man Called Ove: A Novel,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$6.48</span></span>","62,478",4.7 out of 5 stars
Emily Winfield Martin,The Sun and Her Flowers,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","17,613",4.8 out of 5 stars
William P. Young,Dear Zoo: A Lift-the-Flap Book,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","27,208",4.8 out of 5 stars
Sheryl Sandberg,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.72</span></span>","90,035",4.7 out of 5 stars
Amor Towles,The Going to Bed Book (Board Book),Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.03</span></span>","16,365",4.8 out of 5 stars
American Psychological Association,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars
Margaret Wise Brown,The Wonderful Things You Will Be,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","26,482",4.9 out of 5 stars
Jay Asher,The Shack: Where Tragedy Confronts Eternity,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.55</span></span>","23,638",4.7 out of 5 stars
Walter Isaacson,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.06</span></span>","28,497",4.5 out of 5 stars
Deborah Diesen,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.40</span></span>","3,134",4.5 out of 5 stars
Ann Whitford Paul,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.09</span></span>","14,498",4.6 out of 5 stars
Eric Carle,A Gentleman in Moscow: A Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.49</span></span>","52,508",4.6 out of 5 stars
Rob Elliott,"Publication Manual of the American Psychological Association, 6th Edition",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.37</span></span>","12,783",4.5 out of 5 stars
Timothy Ferriss,Goodnight Moon,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.69</span></span>","25,943",4.9 out of 5 stars
Adam Gasiewski,Thirteen Reasons Why,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.93</span></span>","13,984",4.5 out of 5 stars
Ernest Cline,Leonardo da Vinci,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.17</span></span>","6,828",4.6 out of 5 stars
Dav Pilkey,The Pout-Pout Fish,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","24,211",4.9 out of 5 stars
