author,title,types,price,review,rate
Rob Elliott,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars
Jeff Kinney,Frozen (Little Golden Book),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","7,376",4.8 out of 5 stars
Randall Munroe,Laugh-Out-Loud Jokes for Kids,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.79</span></span>","10,924",4.6 out of 5 stars
Rick Riordan,The Fault in Our Stars,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.05</span></span>","62,949",4.7 out of 5 stars
Sarah Young,Diary of a Wimpy Kid: The Long Haul,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.10</span></span>","13,604",4.8 out of 5 stars
Laura Hillenbrand,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$4.81</span></span>","19,737",4.7 out of 5 stars
Drew Daywalt,"The Blood of Olympus (The Heroes of Olympus, 5)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","15,883",4.8 out of 5 stars
Veronica Roth,"Jesus Calling, Padded Hardcover, with Scripture references",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.07</span></span>","32,149",4.9 out of 5 stars
Dr. Seuss,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","33,917",4.8 out of 5 stars
Harper Lee,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.45</span></span>","4,900",4.6 out of 5 stars
Gillian Flynn,The Day the Crayons Quit,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.80</span></span>","20,682",4.8 out of 5 stars
Markus Zusak,Divergent,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","9,820",4.7 out of 5 stars
Brandon Stanton,The Fault in Our Stars,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","62,949",4.7 out of 5 stars
Donna Tartt,"Oh, the Places You'll Go!  ",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.36</span></span>","44,130",4.9 out of 5 stars
American Psychiatric Association,To Kill a Mockingbird,Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.98</span></span>","71,999",4.8 out of 5 stars
R. J. Palacio,Gone Girl,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","67,856",4.1 out of 5 stars
B. J. Novak,The Book Thief,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.42</span></span>","35,336",4.7 out of 5 stars
Rush Limbaugh,The Official SAT Study Guide,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.79</span></span>","1,535",4.4 out of 5 stars
Gary Chapman,Humans of New York,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","5,438",4.8 out of 5 stars
Rob Elliott,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.27</span></span>","43,697",4.0 out of 5 stars
RH Disney,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$41.92</span></span>","12,619",4.7 out of 5 stars
American Psychological Association,Wonder,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$7.79</span></span>","36,665",4.8 out of 5 stars
Alice Schertle,The Book with No Pictures,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","17,334",4.8 out of 5 stars
Ina Garten,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.58</span></span>","5,060",4.9 out of 5 stars
Roger Priddy,The 5 Love Languages: The Secret to Love That Lasts,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","4,888",4.7 out of 5 stars
