author,title,types,price,review,rate
J.K. Rowling,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.75</span></span>","44,544",4.3 out of 5 stars
Roger Priddy,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars
Dr. Seuss,First 100 Words: A Padded Board Book,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","36,068",4.7 out of 5 stars
Jeff Kinney,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.06</span></span>","28,497",4.5 out of 5 stars
Paul Kalanithi,"Oh, the Places You'll Go!  ",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.36</span></span>","44,130",4.9 out of 5 stars
Gary Chapman,Diary of a Wimpy Kid #11: Double Down,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.76</span></span>","14,635",4.8 out of 5 stars
Fredrik Backman,When Breath Becomes Air,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$6.10</span></span>","31,257",4.7 out of 5 stars
Bill O'Reilly,Giraffes Can't Dance,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.95</span></span>","28,617",4.8 out of 5 stars
Dale Carnegie,The 5 Love Languages: The Secret to Love that Lasts,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.38</span></span>","74,075",4.8 out of 5 stars
Chip Gaines,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.24</span></span>","15,394",4.6 out of 5 stars
Rob Elliott,A Man Called Ove: A Novel,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$6.48</span></span>","62,478",4.7 out of 5 stars
Harper Lee,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.59</span></span>","11,496",4.8 out of 5 stars
J. D. Vance,How to Win Friends & Influence People,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.77</span></span>","83,419",4.7 out of 5 stars
J.K. Rowling,The Magnolia Story,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.81</span></span>","10,195",4.8 out of 5 stars
Lin-Manuel Miranda,Laugh-Out-Loud Jokes for Kids,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.79</span></span>","10,924",4.6 out of 5 stars
Paula Hawkins,To Kill a Mockingbird,Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.98</span></span>","71,999",4.8 out of 5 stars
Carol S. Dweck,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.75</span></span>","29,957",4.4 out of 5 stars
The College Board,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.36</span></span>","9,502",4.7 out of 5 stars
Don Miguel Ruiz,Hamilton: The Revolution,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.60</span></span>","13,318",4.9 out of 5 stars
Rupi Kaur,The Girl on the Train,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","92,514",4.1 out of 5 stars
Sandra Boynton,Mindset: The New Psychology of Success,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.93</span></span>","22,417",4.6 out of 5 stars
Bruce Springsteen,"The Official SAT Study Guide, 2016 Edition",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.95</span></span>","1,099",4.4 out of 5 stars
Ron Chernow,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.64</span></span>","3,130",4.5 out of 5 stars
Eric Carle,Milk and Honey,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.72</span></span>","90,035",4.7 out of 5 stars
Stephen R. Covey,The Going to Bed Book (Board Book),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.58</span></span>","48,110",4.7 out of 5 stars
R. J. Palacio,Born to Run,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.03</span></span>","16,365",4.8 out of 5 stars
Emily Winfield Martin,Alexander Hamilton,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.25</span></span>","5,673",4.7 out of 5 stars
Jen Sincero,The Very Hungry Caterpillar,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","19,341",4.8 out of 5 stars
American Psychological Association,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","56,790",4.9 out of 5 stars
Chrissy Teigen,The Constitution of the United States,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.80</span></span>","9,299",4.7 out of 5 stars
Ta-Nehisi Coates,Wonder,Pamphlet,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.95</span></span>","5,889",4.9 out of 5 stars
Sasha O'Hara,The Wonderful Things You Will Be,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.17</span></span>","36,665",4.8 out of 5 stars
Sarah Young,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","26,482",4.9 out of 5 stars
Elie Wiesel,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.22</span></span>","35,905",4.7 out of 5 stars
