author,title,types,price,review,rate
Roger Priddy,First 100 Words: A Padded Board Book,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","36,068",4.7 out of 5 stars
Rob Elliott,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.06</span></span>","28,497",4.5 out of 5 stars
Johanna Basford,Laugh-Out-Loud Jokes for Kids,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.79</span></span>","10,924",4.6 out of 5 stars
Harper Lee,Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.92</span></span>","15,225",4.7 out of 5 stars
Johanna Basford,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars
Anthony Doerr,Go Set a Watchman: A Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.09</span></span>","18,929",3.7 out of 5 stars
Paula Hawkins,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.80</span></span>","8,194",4.7 out of 5 stars
Blue Star Coloring,All the Light We Cannot See,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.44</span></span>","69,786",4.6 out of 5 stars
Jeff Kinney,The Girl on the Train,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.50</span></span>","92,514",4.1 out of 5 stars
Harper Lee,Adult Coloring Book: Stress Relieving Patterns,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.17</span></span>","4,302",4.5 out of 5 stars
Blue Star Coloring,Diary of a Wimpy Kid #10: Old School,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","14,834",4.8 out of 5 stars
Coloring Books for Adults,To Kill a Mockingbird,Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.98</span></span>","71,999",4.8 out of 5 stars
Brandon Stanton,Adult Coloring Book: Stress Relieving Animal Designs,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","3,950",4.6 out of 5 stars
Andy Weir,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.10</span></span>","3,163",4.5 out of 5 stars
Dr. Seuss,Humans of New York : Stories,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","5,133",4.9 out of 5 stars
Rob Elliott,The Martian,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.58</span></span>","52,752",4.7 out of 5 stars
Drew Daywalt,"Oh, the Places You'll Go!  ",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.36</span></span>","44,130",4.9 out of 5 stars
Daniel James Brown,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.90</span></span>","5,765",4.5 out of 5 stars
Sarah Young,Dear Zoo: A Lift-the-Flap Book,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","27,208",4.8 out of 5 stars
Carol S. Dweck,The Day the Crayons Quit,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.80</span></span>","20,682",4.8 out of 5 stars
E L James,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.64</span></span>","31,819",4.8 out of 5 stars
Marjorie Sarnat,"Jesus Calling, Padded Hardcover, with Scripture references",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.07</span></span>","32,149",4.9 out of 5 stars
Dale Carnegie,Mindset: The New Psychology of Success,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.93</span></span>","22,417",4.6 out of 5 stars
Gary Chapman,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.45</span></span>","38,254",4.5 out of 5 stars
Angie Grace,Creative Haven Creative Cats Coloring Book (Adult Coloring),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.06</span></span>","5,165",4.8 out of 5 stars
Marjorie Sarnat,How to Win Friends & Influence People,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.77</span></span>","83,419",4.7 out of 5 stars
