author,title,types,price,review,rate
Sheryl Sandberg,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars
Jeff Kinney,"Lean In: Women, Work, and the Will to Lead",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","8,383",4.5 out of 5 stars
Rush Limbaugh,"Diary of a Wimpy Kid: Hard Luck, Book 8",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.02</span></span>","12,907",4.8 out of 5 stars
Sarah Young,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.36</span></span>","9,395",4.9 out of 5 stars
Dan Brown,"Jesus Calling, Padded Hardcover, with Scripture references",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.07</span></span>","32,149",4.9 out of 5 stars
Rick Riordan,Inferno,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","36,078",4.2 out of 5 stars
Charles Krauthammer,"The House of Hades (Heroes of Olympus, Book 4)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.58</span></span>","15,868",4.8 out of 5 stars
F. Scott Fitzgerald,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.50</span></span>","7,796",4.7 out of 5 stars
Bill O'Reilly,The Great Gatsby: The Only Authorized Edition,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","10,683",4.4 out of 5 stars
American Psychiatric Association,Killing Jesus (Bill O'Reilly's Killing Series),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.34</span></span>","13,147",4.5 out of 5 stars
Markus Zusak,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.93</span></span>","17,167",4.4 out of 5 stars
R. J. Palacio,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$41.92</span></span>","12,619",4.7 out of 5 stars
Gary Chapman,The Official SAT Study Guide,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.79</span></span>","1,535",4.4 out of 5 stars
American Psychological Association,The Fault in Our Stars,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","62,949",4.7 out of 5 stars
Veronica Roth,The Book Thief,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.42</span></span>","35,336",4.7 out of 5 stars
Rob Elliott,Wonder,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$7.79</span></span>","36,665",4.8 out of 5 stars
Dr. Seuss,The 5 Love Languages: The Secret to Love That Lasts,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","4,888",4.7 out of 5 stars
Malcolm Gladwell,"Publication Manual of the American Psychological Association, 6th Edition",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.37</span></span>","12,783",4.5 out of 5 stars
George R.R. Martin,Divergent,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","9,820",4.7 out of 5 stars
Veronica Roth,Laugh-Out-Loud Jokes for Kids,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.79</span></span>","10,924",4.6 out of 5 stars
Khaled Hosseini,"Oh, the Places You'll Go!  ",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.36</span></span>","44,130",4.9 out of 5 stars
Brandon Stanton,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.06</span></span>","7,426",4.5 out of 5 stars
Stephen King,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$9.00</span></span>","6,405",4.6 out of 5 stars
Rob Elliott,Allegiant,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","24,812",3.9 out of 5 stars
Donna Tartt,And the Mountains Echoed,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","17,729",4.4 out of 5 stars
Don Miguel Ruiz,Humans of New York,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","5,438",4.8 out of 5 stars
Gillian Flynn,The Legend of Zelda: Hyrule Historia,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$12.13</span></span>","9,879",4.9 out of 5 stars
Brian Kilmeade,Doctor Sleep: A Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.39</span></span>","24,306",4.7 out of 5 stars
Susan Cain,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.90</span></span>","5,765",4.5 out of 5 stars
Sherri Duskey Rinker,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.27</span></span>","43,697",4.0 out of 5 stars
John Grisham,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.72</span></span>","90,035",4.7 out of 5 stars
William Davis,Gone Girl,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","67,856",4.1 out of 5 stars
