author,title,types,price,review,rate
Dan Brown,The Lost Symbol,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.92</span></span>","16,769",4.4 out of 5 stars
William P. Young,The Shack: Where Tragedy Confronts Eternity,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.55</span></span>","23,634",4.7 out of 5 stars
Mark R. Levin,Liberty and Tyranny: A Conservative Manifesto,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.07</span></span>","5,063",4.8 out of 5 stars
Stephenie Meyer,"Breaking Dawn (The Twilight Saga, Book 4)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.12</span></span>","17,355",4.7 out of 5 stars
Sarah Palin,Going Rogue: An American Life,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","1,570",4.6 out of 5 stars
Kathryn Stockett,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars
Stephenie Meyer,The Help,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.14</span></span>","18,451",4.8 out of 5 stars
Stephenie Meyer,New Moon (The Twilight Saga),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","12,831",4.7 out of 5 stars
Malcolm Gladwell,The Twilight Saga Collection,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$13.52</span></span>","6,403",4.7 out of 5 stars
Stephenie Meyer,Outliers: The Story of Success,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.60</span></span>","22,949",4.7 out of 5 stars
Stephenie Meyer,Eclipse (Twilight),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","13,200",4.7 out of 5 stars
Glenn Beck,"Twilight (The Twilight Saga, Book 1)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","22,929",4.7 out of 5 stars
Greg Mortenson,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.69</span></span>","1,422",4.5 out of 5 stars
Stephen Kendrick,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.77</span></span>","3,520",4.3 out of 5 stars
Steve Harvey,The Love Dare,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.15</span></span>","3,388",4.8 out of 5 stars
Jeff Kinney,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.07</span></span>","7,132",4.6 out of 5 stars
Stephen King,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.47</span></span>","8,317",4.7 out of 5 stars
Mary Ann Shaffer,Under the Dome: A Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","9,299",4.4 out of 5 stars
David Zinczenko,The Guernsey Literary and Potato Peel Pie Society,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","15,342",4.6 out of 5 stars
Glenn Beck,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>",945,4.5 out of 5 stars
Julia Child,Arguing with Idiots: How to Stop Small Minds and Big Government,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>",901,4.6 out of 5 stars
Charlaine Harris,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$9.15</span></span>","7,883",4.8 out of 5 stars
Audrey Niffenegger,Sookie Stackhouse,Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$5.00</span></span>",998,4.7 out of 5 stars
