,author,title,types,price,review,rate,year
34,Malcolm Gladwell,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.12</span></span>","1,161",4.3 out of 5 stars,2009
35,Francis Chan,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.25</span></span>","2,427",4.6 out of 5 stars,2009
36,Rick Riordan,The Tipping Point: How Little Things Can Make a Big Difference,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","5,933",4.4 out of 5 stars,2009
37,Muriel Barbery,Crazy Love: Overwhelmed by a Relentless God,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.97</span></span>","1,932",4.7 out of 5 stars,2009
38,James Patterson,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","15,818",4.8 out of 5 stars,2009
39,Stieg Larsson,The Elegance of the Hedgehog,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$9.09</span></span>","3,610",4.2 out of 5 stars,2009
40,Randy Pausch,"I, Alex Cross",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","3,538",4.6 out of 5 stars,2009
41,Gary Chapman,The Girl Who Played with Fire (Millennium),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.57</span></span>","11,010",4.7 out of 5 stars,2009
42,Alan Moore,The Last Lecture,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.75</span></span>","6,095",4.7 out of 5 stars,2009
43,Bill Simmons,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.75</span></span>",867,4.6 out of 5 stars,2009
44,Zhi Gang Sha,Watchmen,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","8,025",4.8 out of 5 stars,2009
45,Jeff Kinney,Diary of a Wimpy Kid Do-it-yourself Book,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","5,015",4.8 out of 5 stars,2009
46,Andre Agassi,Open: An Autobiography,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","9,256",4.7 out of 5 stars,2009
47,"Lifetime Television,",Pride and Prejudice and Zombies,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.65</span></span>","2,083",4.3 out of 5 stars,2009
48,Lisa Lillien,Cook Yourself Thin: Skinny Meals You Can Make in Minutes,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>",898,4.3 out of 5 stars,2009
49,Christopher McDougall,Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>",902,4.4 out of 5 stars,2009
50,Bill O'Reilly,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","12,365",4.7 out of 5 stars,2009
51,Ree Drummond,A Bold Fresh Piece of Humanity,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.83</span></span>",766,4.7 out of 5 stars,2009
52,Markus Zusak,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.09</span></span>","5,546",4.8 out of 5 stars,2009
53,Pat Conroy,The Book Thief,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.42</span></span>","35,325",4.7 out of 5 stars,2009
54,Michael Pollan,South of Broad,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","2,584",4.5 out of 5 stars,2009
55,Stephenie Meyer,The Omnivore's Dilemma: A Natural History of Four Meals,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.75</span></span>","3,741",4.6 out of 5 stars,2009
56,Jillian Michaels,The Host,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.76</span></span>","9,870",4.6 out of 5 stars,2009
57,John Grisham,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.25</span></span>",941,4.3 out of 5 stars,2009
58,Michelle Malkin,Ford County: Stories,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.18</span></span>","4,605",4.4 out of 5 stars,2009
59,Malcolm Gladwell,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","1,096",4.6 out of 5 stars,2009
60,Jeff Kinney,Blink: The Power of Thinking Without Thinking,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.83</span></span>","8,900",4.5 out of 5 stars,2009
