,author,title,types,price,review,rate,year
109,Sara Gruen,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.00</span></span>","7,934",4.5 out of 5 stars,2011
110,Daniel Lipkowitz,The 5 Love Languages: The Secret to Love That Lasts,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","4,888",4.7 out of 5 stars,2011
111,Ann Voskamp,Crazy Love: Overwhelmed by a Relentless God,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.97</span></span>","1,932",4.7 out of 5 stars,2011
112,Rick Riordan,A Stolen Life: A Memoir,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.34</span></span>","6,316",4.7 out of 5 stars,2011
113,Charlaine Harris,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","11,409",4.7 out of 5 stars,2011
114,Jim Collins,Water for Elephants: A Novel,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.08</span></span>","8,476",4.6 out of 5 stars,2011
115,John Grisham,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","6,647",4.6 out of 5 stars,2011
116,Rob Bell,The Lego Ideas Book: Unlock Your Imagination,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.06</span></span>","10,108",4.5 out of 5 stars,2011
117,Kathryn Stockett,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.07</span></span>","4,544",4.6 out of 5 stars,2011
118,Daniel Kahneman,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","1,711",4.6 out of 5 stars,2011
119,Paula McLain,"The Throne of Fire (The Kane Chronicles, Book 2)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","3,943",4.8 out of 5 stars,2011
120,David Platt,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.18</span></span>","3,684",4.5 out of 5 stars,2011
121,Garth Stein,Good to Great: Why Some Companies Make the Leap and Others Don't,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","6,019",4.5 out of 5 stars,2011
122,Doug Lemov,The Litigators,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","12,201",4.5 out of 5 stars,2011
123,Heidi Murkoff,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.18</span></span>","2,204",4.4 out of 5 stars,2011
0,E L James,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series, 1)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.50</span></span>","60,774",4.0 out of 5 stars,2012
1,E L James,Fifty Shades Darker,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","33,674",4.5 out of 5 stars,2012
2,E L James,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.03</span></span>","32,691",4.5 out of 5 stars,2012
3,Suzanne Collins,The Hunger Games (Book 1),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.34</span></span>","44,113",4.7 out of 5 stars,2012
4,E L James,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars,2012
5,Suzanne Collins,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.69</span></span>","38,942",4.6 out of 5 stars,2012
6,Suzanne Collins,Catching Fire (The Hunger Games),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","33,507",4.7 out of 5 stars,2012
7,Jeff Kinney,Mockingjay (The Hunger Games),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.47</span></span>","38,081",4.6 out of 5 stars,2012
8,Mark Owen,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","12,955",4.7 out of 5 stars,2012
9,Suzanne Collins,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.04</span></span>","9,775",4.6 out of 5 stars,2012
10,Gillian Flynn,The Hunger Games Trilogy Boxed Set,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$4.17</span></span>","25,596",4.8 out of 5 stars,2012
11,Rick Riordan,Gone Girl,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","67,856",4.1 out of 5 stars,2012
12,George R.R. Martin,"The Mark of Athena (Heroes of Olympus, Book 3)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","14,567",4.8 out of 5 stars,2012
13,Bill O'Reilly,The Official SAT Study Guide,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.79</span></span>","1,535",4.4 out of 5 stars,2012
14,American Psychological Association,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$9.00</span></span>","6,405",4.6 out of 5 stars,2012
15,Bill O'Reilly,Killing Kennedy: The End of Camelot,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.17</span></span>","10,620",4.6 out of 5 stars,2012
16,Laura Hillenbrand,"Publication Manual of the American Psychological Association, 6th Edition",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.37</span></span>","12,783",4.5 out of 5 stars,2012
17,Gary Chapman,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.50</span></span>","10,931",4.7 out of 5 stars,2012
18,Ina Garten,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.25</span></span>","33,917",4.8 out of 5 stars,2012
19,Daniel Kahneman,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.93</span></span>","17,167",4.4 out of 5 stars,2012
20,J.K. Rowling,The 5 Love Languages: The Secret to Love That Lasts,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","4,888",4.7 out of 5 stars,2012
21,Jonathan Cahn,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$5.83</span></span>","2,415",4.8 out of 5 stars,2012
22,Charles Duhigg,"Thinking, Fast and Slow",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$8.14</span></span>","31,098",4.6 out of 5 stars,2012
23,Walter Isaacson,The Casual Vacancy,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","11,133",3.4 out of 5 stars,2012
24,William Davis,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.18</span></span>","19,239",4.7 out of 5 stars,2012
25,Dr. Seuss,The Power of Habit: Why We Do What We Do in Life and Business,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.18</span></span>","23,506",4.7 out of 5 stars,2012
26,Susan Cain,Steve Jobs,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","13,314",4.7 out of 5 stars,2012
27,F. Scott Fitzgerald,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.18</span></span>","8,676",4.4 out of 5 stars,2012
28,John Grisham,"Oh, the Places You'll Go!  ",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.36</span></span>","44,130",4.9 out of 5 stars,2012
29,Mark Hyman M.D.,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","1,711",4.6 out of 5 stars,2012
30,Sherri Duskey Rinker,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","6,647",4.6 out of 5 stars,2012
31,Rebecca Skloot,Quiet: The Power of Introverts in a World That Can't Stop Talking,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$4.48</span></span>","20,823",4.6 out of 5 stars,2012
32,Rick Riordan,The Great Gatsby: The Only Authorized Edition,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","10,683",4.4 out of 5 stars,2012
33,Ann Voskamp,The Racketeer,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","27,301",4.4 out of 5 stars,2012
34,Cheryl Strayed,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","2,537",4.3 out of 5 stars,2012
35,Ken Follett,"Goodnight, Goodnight, Construction Site",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.18</span></span>","20,909",4.9 out of 5 stars,2012
36,Ree Drummond,The Immortal Life of Henrietta Lacks,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.49</span></span>","17,262",4.7 out of 5 stars,2012
37,Daniel Lipkowitz,The Fault in Our Stars,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","62,949",4.7 out of 5 stars,2012
38,Todd Burpo,"The Serpent's Shadow (The Kane Chronicles, Book 3)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","5,096",4.8 out of 5 stars,2012
39,Sarah Young,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.07</span></span>","4,544",4.6 out of 5 stars,2012
40,Jon Meacham,Wild: From Lost to Found on the Pacific Crest Trail,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.80</span></span>","24,108",4.5 out of 5 stars,2012
41,Jim Collins,Winter of the World: Book Two of the Century Trilogy,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","18,895",4.6 out of 5 stars,2012
42,Edward Klein,The Pioneer Woman Cooks―Food from My Frontier,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.99</span></span>","4,729",4.8 out of 5 stars,2012
43,Deb Perelman,The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$5.23</span></span>","1,870",4.7 out of 5 stars,2012
44,Heidi Murkoff,What to Expect When You're Expecting,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","29,938",4.8 out of 5 stars,2012
45,Robert Kirkman,The Walking Dead: Compendium One,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$7.18</span></span>","7,855",4.8 out of 5 stars,2012
46,Nate Silver,The Signal and the Noise: Why So Many Predictions Fail-But Some Don't,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","1,969",4.5 out of 5 stars,2012
47,The Oatmeal,How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","11,045",4.5 out of 5 stars,2012
48,George R. R. Martin,A Dance with Dragons (A Song of Ice and Fire),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.32</span></span>","17,796",4.5 out of 5 stars,2012
49,Stephen Colbert,America Again: Re-becoming the Greatness We Never Weren't,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>",608,4.3 out of 5 stars,2012
50,Chris Kyle,LEGO NINJAGO: Character Encyclopedia,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$4.55</span></span>",895,4.5 out of 5 stars,2012
51,Malcolm Gladwell,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","19,535",4.6 out of 5 stars,2012
52,Doug Lemov,Outliers: The Story of Success,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.91</span></span>","22,955",4.7 out of 5 stars,2012
53,Sylvia Day,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.23</span></span>",863,4.5 out of 5 stars,2012
54,Don Miguel Ruiz,Bared to You,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.29</span></span>","15,393",4.4 out of 5 stars,2012
55,Tom Rath,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.72</span></span>","90,035",4.7 out of 5 stars,2012
56,Francis Chan,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","2,408",4.5 out of 5 stars,2012
57,Adam Mansbach,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","3,121",4.3 out of 5 stars,2012
58,Hilary Mantel,Crazy Love: Overwhelmed by a Relentless God,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.97</span></span>","1,932",4.7 out of 5 stars,2012
59,Jim Collins,Go the F**k to Sleep,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.38</span></span>","20,696",4.8 out of 5 stars,2012
60,Sylvia Day,Bring Up the Bodies,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.77</span></span>","9,369",4.6 out of 5 stars,2012
61,Spencer Johnson,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","1,316",4.6 out of 5 stars,2012
62,Markus Zusak,Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss,Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.90</span></span>","10,075",4.5 out of 5 stars,2012
63,Project Management Institute,"Reflected in You (Crossfire, Book 2)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.08</span></span>","13,085",4.6 out of 5 stars,2012
64,Katherine Boo,Who Moved My Cheese,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","17,596",4.6 out of 5 stars,2012
65,Charlaine Harris,The Book Thief,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.42</span></span>","35,336",4.7 out of 5 stars,2012
66,Kerry Patterson,A Guide to the Project Management Body of Knowledge,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.46</span></span>",737,4.5 out of 5 stars,2012
67,Gene Stone,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","3,922",4.3 out of 5 stars,2012
68,Sally Lloyd-Jones,"Deadlocked (Sookie Stackhouse/True Blood, Book 12)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.02</span></span>","4,489",4.5 out of 5 stars,2012
69,Janet Evanovich,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","10,044",4.7 out of 5 stars,2012
70,Timothy Ferriss,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.28</span></span>","2,866",4.5 out of 5 stars,2012
71,David Mitchell,The Jesus Storybook Bible: Every Story Whispers His Name,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.97</span></span>","12,217",4.9 out of 5 stars,2012
72,Paulo Coelho,Notorious Nineteen: A Stephanie Plum Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.03</span></span>","8,290",4.6 out of 5 stars,2012
73,Suzanne Collins,"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.32</span></span>","2,861",4.5 out of 5 stars,2012
74,Anne Lamott,Cloud Atlas,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","6,019",4.3 out of 5 stars,2012
75,R. J. Palacio,The Alchemist,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.23</span></span>","3,904",4.7 out of 5 stars,2012
76,Woo Myung,The Hunger Games (Hunger Games),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","44,113",4.7 out of 5 stars,2012
77,Mary C. Neal,"Help, Thanks, Wow: The Three Essential Prayers",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.56</span></span>","2,058",4.6 out of 5 stars,2012
78,Del Sroufe,Wonder,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$7.79</span></span>","36,665",4.8 out of 5 stars,2012
79,Suzanne Collins,"Stop Living In This Land, Go To The Everlasting World Of Happiness, Live There Forever",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.95</span></span>",51,3.8 out of 5 stars,2012
80,Robert Jordan,"To Heaven and Back: A Doctor's Extraordinary Account of Her Death, Heaven, Angels, and Life Again: A True Story",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.41</span></span>","4,904",4.5 out of 5 stars,2012
81,Jeff Kinney,"Forks Over Knives―The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.25</span></span>","13,289",4.5 out of 5 stars,2012
82,Sean Covey,Catching Fire (Hunger Games),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","33,507",4.7 out of 5 stars,2012
83,Robert A. Caro,"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$4.06</span></span>","14,192",4.8 out of 5 stars,2012
84,Ree Drummond,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.91</span></span>","11,609",4.8 out of 5 stars,2012
85,Timothy Keller,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.54</span></span>","12,421",4.6 out of 5 stars,2012
86,Elie Wiesel,The Passage of Power: The Years of Lyndon Johnson,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.96</span></span>","1,540",4.8 out of 5 stars,2012
87,E L James,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series, 1)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.50</span></span>","60,774",4.0 out of 5 stars,2012
88,E L James,Fifty Shades Darker,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","33,674",4.5 out of 5 stars,2012
89,E L James,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.03</span></span>","32,691",4.5 out of 5 stars,2012
90,Suzanne Collins,The Hunger Games (Book 1),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.34</span></span>","44,113",4.7 out of 5 stars,2012
91,E L James,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars,2012
92,Suzanne Collins,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.69</span></span>","38,942",4.6 out of 5 stars,2012
93,Suzanne Collins,Catching Fire (The Hunger Games),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","33,507",4.7 out of 5 stars,2012
94,Jeff Kinney,Mockingjay (The Hunger Games),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.47</span></span>","38,081",4.6 out of 5 stars,2012
95,Mark Owen,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","12,955",4.7 out of 5 stars,2012
96,Suzanne Collins,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.04</span></span>","9,775",4.6 out of 5 stars,2012
97,Gillian Flynn,The Hunger Games Trilogy Boxed Set,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$4.17</span></span>","25,596",4.8 out of 5 stars,2012
98,Rick Riordan,Gone Girl,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","67,856",4.1 out of 5 stars,2012
99,George R.R. Martin,"The Mark of Athena (Heroes of Olympus, Book 3)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","14,567",4.8 out of 5 stars,2012
100,Bill O'Reilly,The Official SAT Study Guide,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.79</span></span>","1,535",4.4 out of 5 stars,2012
101,American Psychological Association,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$9.00</span></span>","6,405",4.6 out of 5 stars,2012
102,Bill O'Reilly,Killing Kennedy: The End of Camelot,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.17</span></span>","10,620",4.6 out of 5 stars,2012
103,Laura Hillenbrand,"Publication Manual of the American Psychological Association, 6th Edition",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.37</span></span>","12,783",4.5 out of 5 stars,2012
104,Gary Chapman,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.50</span></span>","10,931",4.7 out of 5 stars,2012
105,Ina Garten,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.25</span></span>","33,917",4.8 out of 5 stars,2012
106,Daniel Kahneman,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.93</span></span>","17,167",4.4 out of 5 stars,2012
107,J.K. Rowling,The 5 Love Languages: The Secret to Love That Lasts,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","4,888",4.7 out of 5 stars,2012
108,Jonathan Cahn,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$5.83</span></span>","2,415",4.8 out of 5 stars,2012
109,Charles Duhigg,"Thinking, Fast and Slow",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$8.14</span></span>","31,098",4.6 out of 5 stars,2012
110,Walter Isaacson,The Casual Vacancy,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","11,133",3.4 out of 5 stars,2012
111,William Davis,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.18</span></span>","19,239",4.7 out of 5 stars,2012
112,Dr. Seuss,The Power of Habit: Why We Do What We Do in Life and Business,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.18</span></span>","23,506",4.7 out of 5 stars,2012
113,Susan Cain,Steve Jobs,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","13,314",4.7 out of 5 stars,2012
114,F. Scott Fitzgerald,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.18</span></span>","8,676",4.4 out of 5 stars,2012
115,John Grisham,"Oh, the Places You'll Go!  ",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.36</span></span>","44,130",4.9 out of 5 stars,2012
116,Mark Hyman M.D.,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","1,711",4.6 out of 5 stars,2012
117,Sherri Duskey Rinker,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","6,647",4.6 out of 5 stars,2012
118,Rebecca Skloot,Quiet: The Power of Introverts in a World That Can't Stop Talking,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$4.48</span></span>","20,823",4.6 out of 5 stars,2012
119,Rick Riordan,The Great Gatsby: The Only Authorized Edition,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","10,683",4.4 out of 5 stars,2012
120,Ann Voskamp,The Racketeer,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","27,301",4.4 out of 5 stars,2012
121,Cheryl Strayed,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","2,537",4.3 out of 5 stars,2012
122,Ken Follett,"Goodnight, Goodnight, Construction Site",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.18</span></span>","20,909",4.9 out of 5 stars,2012
123,Ree Drummond,The Immortal Life of Henrietta Lacks,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.49</span></span>","17,262",4.7 out of 5 stars,2012
124,Daniel Lipkowitz,The Fault in Our Stars,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","62,949",4.7 out of 5 stars,2012
125,Todd Burpo,"The Serpent's Shadow (The Kane Chronicles, Book 3)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","5,096",4.8 out of 5 stars,2012
126,Sarah Young,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.07</span></span>","4,544",4.6 out of 5 stars,2012
